MainLibraryCode+SublibraryCode	ISIL
49HBZ_ULM+CHEM	DE-6-005
49HBZ_ULM+CRZI	DE-6-339
49HBZ_ULM+DBIO	DE-6-298
49HBZ_ULM+DMAT	DE-6-293
49HBZ_ULM+DSAC	DE-6-295
49HBZ_ULM+EHRE	DE-6-276
49HBZ_ULM+EMPTY	
49HBZ_ULM+ENGL	DE-6-020
49HBZ_ULM+ETHN	DE-6-193
49HBZ_ULM+EVT	DE-6-006
49HBZ_ULM+FBH	DE-6-248
49HBZ_ULM+FID	DE-6-N
49HBZ_ULM+GEOB	DE-6-026
49HBZ_ULM+GEOW	DE-6-007
49HBZ_ULM+GERM	DE-6-246
49HBZ_ULM+GPHY	DE-6-163
49HBZ_ULM+GRIE	DE-6-328
49HBZ_ULM+HLS	DE-6
49HBZ_ULM+HMB	DE-6-136
49HBZ_ULM+HUEF	
49HBZ_ULM+IJD	DE-6-119
49HBZ_ULM+INDO	DE-6-259
49HBZ_ULM+INTF	DE-6-182
49HBZ_ULM+ISTG	DE-6-210
49HBZ_ULM+ITM	DE-6-326
49HBZ_ULM+JUED	DE-6-336
49HBZ_ULM+KATD	DE-6-011
49HBZ_ULM+KATH	DE-6-069
49HBZ_ULM+KATJ	DE-6-011
49HBZ_ULM+KULT	DE-6-097
49HBZ_ULM+KWI	DE-6-115
49HBZ_ULM+LAT	DE-6-192
49HBZ_ULM+LEIB	DE-6-318
49HBZ_ULM+MATH	DE-6-022
49HBZ_ULM+MED	DE-6-M
49HBZ_ULM+MEGT	DE-6-164
49HBZ_ULM+MUHO	DE-6-334
49HBZ_ULM+MUNA	DE-6-139b
49HBZ_ULM+MUPA	DE-6-286
49HBZ_ULM+MUWI	DE-6-052
49HBZ_ULM+NIED	DE-6-050
49HBZ_ULM+NORD	DE-6-191
49HBZ_ULM+PHAR	DE-6-057
49HBZ_ULM+PHIL	DE-6-015
49HBZ_ULM+PHY	DE-6-023
49HBZ_ULM+PSY	DE-6-049
49HBZ_ULM+RAUM	DE-6-194
49HBZ_ULM+RHB	DE-6-125
49HBZ_ULM+ROSL	DE-6-255
49HBZ_ULM+RWS1	DE-6-016
49HBZ_ULM+RWS2	DE-6-016
49HBZ_ULM+SINO	DE-6-156
49HBZ_ULM+SOZ	DE-6-A
49HBZ_ULM+SPOR	DE-6-058
49HBZ_ULM+SPRA	DE-6-258
49HBZ_ULM+TPHY	DE-6-056
49HBZ_ULM+WINF	DE-6-282
49HBZ_ULM+WIWI	DE-6-017
49HBZ_ULM+ZB	DE-6
49HBZ_ULM+ZRB	DE-6-177
49HBZ_ULM+ZUP	DE-6-Z
49HBZ_ULM+ZYPE	DE-6-325
49HBZ_ZBM+BONN	DE-98
49HBZ_ZBM+KOELN	DE-38M
